ower supply: Xiaomi to USB 12 V

Motor driver: L298N

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1 = 31250 Hz

start...

(4)

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1024 = 30 Hz

pwm,	intr,	RPM,	speed
40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	1122,	203,	1368.48

110,	1224,	221,	1458.56

120,	1240,	225,	1367.94

130,	1257,	228,	1368.48

140,	1273,	230,	1369.02

150,	1285,	233,	1457.41

160,	1295,	235,	1457.98

170,	1305,	236,	1550.94

180,	1315,	238,	1548.50

190,	1322,	239,	1461.44

200,	1328,	241,	1461.44

210,	1334,	242,	1459.14

220,	1341,	243,	1552.78

230,	1347,	244,	1549.11

240,	1354,	245,	1550.94

250,	1360,	246,	1552.17

260,	1368,	248,	1549.72

pwm,	intr,	RPM,	speed

260,	1368,	248,	1550.33

250,	1361,	247,	1552.78

240,	1355,	245,	1550.94

230,	1351,	245,	1550.94

220,	1344,	243,	1549.11

210,	1338,	242,	1551.56

200,	1331,	241,	1459.14

190,	1324,	240,	1551.56

180,	1316,	238,	1552.78

170,	1309,	237,	1548.50

160,	1299,	235,	1458.56

150,	1289,	234,	1459.71

140,	1277,	231,	1457.98

130,	1264,	229,	1459.71

120,	1248,	226,	1368.48

110,	1230,	223,	1460.29

100,	1203,	218,	1369.02

90,	1177,	213,	1277.25

80,	1138,	206,	1276.74

70,	1087,	197,	1186.95

60,	1014,	183,	1186.95

50,	923,	167,	1003.55

40,	802,	145,	821.09

30,	629,	114,	638.88

20,	360,	65,	273.70

10,	10,	1,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 64 = 488 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	965,	174,	1186.02

110,	1105,	200,	1276.74

120,	1147,	208,	1366.86

130,	1178,	213,	1370.10

140,	1199,	217,	1366.86

150,	1217,	220,	1369.02

160,	1240,	225,	1457.98

170,	1257,	227,	1459.71

180,	1272,	230,	1459.14

190,	1286,	233,	1459.14

200,	1298,	235,	1460.87

210,	1309,	237,	1548.50

220,	1319,	239,	1459.14

230,	1328,	241,	1552.17

240,	1337,	242,	1457.98

250,	1344,	243,	1458.56

260,	1372,	248,	1551.56

pwm,	intr,	RPM,	speed

260,	1370,	248,	1549.72

250,	1345,	243,	1552.17

240,	1336,	242,	1552.17

230,	1327,	240,	1459.71

220,	1317,	238,	1460.29

210,	1307,	237,	1550.33

200,	1296,	235,	1548.50

190,	1284,	233,	1461.44

180,	1271,	230,	1459.71

170,	1256,	228,	1460.29

160,	1240,	225,	1369.02

150,	1220,	221,	1367.94

140,	1196,	216,	1367.94

130,	1175,	213,	1369.02

120,	1145,	207,	1278.76

110,	1110,	201,	1276.74

100,	1071,	194,	1278.26

90,	1018,	184,	1185.55

80,	953,	173,	1093.92

70,	877,	159,	1004.35

60,	779,	141,	913.40

50,	656,	119,	730.72

40,	491,	89,	547.82

30,	282,	51,	273.91

20,	4,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 8 = 3906 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	0,	0,	0.00

160,	0,	0,	0.00

170,	874,	158,	1094.78

180,	983,	178,	1095.65

190,	981,	178,	1186.02

200,	980,	177,	1184.61

210,	1006,	182,	1096.08

220,	1081,	196,	1276.74

230,	1180,	214,	1277.25

240,	1295,	235,	1459.71

250,	1361,	247,	1548.50

260,	1368,	248,	1549.72

pwm,	intr,	RPM,	speed

260,	1368,	248,	1550.33

250,	1364,	247,	1552.17

240,	1297,	235,	1460.29

230,	1186,	215,	1367.94

220,	1095,	198,	1276.24

210,	1019,	184,	1186.02

200,	985,	178,	1096.08

190,	981,	178,	1094.35

180,	983,	178,	1095.65

170,	980,	177,	1184.61

160,	956,	173,	1092.63

150,	897,	162,	1003.16

140,	813,	147,	913.40

130,	729,	132,	821.09

120,	653,	118,	819.79

110,	586,	106,	638.37

100,	531,	96,	638.88

90,	466,	84,	456.34

80,	378,	68,	456.16

70,	259,	47,	274.02

60,	82,	14,	0.00

50,	0,	0,	0.00

40,	0,	0,	0.00

30,	0,	0,	0.00

20,	0,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1 = 31250 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	916,	166,	1186.02

160,	1064,	193,	1187.42

170,	1126,	204,	1276.24

180,	1187,	215,	1370.10

190,	1237,	224,	1457.41

200,	1278,	231,	1456.84

210,	1313,	238,	1460.29

220,	1342,	243,	1550.33

230,	1364,	247,	1552.78

240,	1368,	248,	1550.94

250,	1368,	248,	1550.33

260,	1370,	248,	1548.50

pwm,	intr,	RPM,	speed

260,	1371,	248,	1550.94

250,	1369,	248,	1552.17

240,	1369,	248,	1550.33

230,	1363,	247,	1547.28

220,	1343,	243,	1552.78

210,	1315,	238,	1550.33

200,	1280,	232,	1460.87

190,	1238,	224,	1368.48

180,	1191,	216,	1370.10

170,	1138,	206,	1278.76

160,	1081,	196,	1276.74

150,	1018,	184,	1185.55

140,	950,	172,	1095.65

130,	872,	158,	1001.97

120,	794,	144,	912.32

110,	725,	131,	821.09

100,	652,	118,	730.43

90,	579,	105,	638.62

80,	500,	90,	547.82

70,	429,	77,	456.52

60,	358,	64,	365.22

50,	289,	52,	273.37

40,	214,	38,	273.48

30,	182,	33,	91.16

20,	3,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1 = 31250 Hz

