ower supply: 12V 4A Adaptor

Motor driver: L298N

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1024 = 30 Hz

pwm,	intr,	RPM,	speed
70,	1065,	193,	1278.76

80,	1193,	216,	1369.56

90,	1226,	222,	1369.02

100,	1249,	226,	1368.48

110,	1271,	230,	1459.14

120,	1289,	234,	1461.44

130,	1304,	236,	1460.29

140,	1316,	238,	1459.71

150,	1329,	241,	1552.17

160,	1340,	243,	1549.72

170,	1348,	244,	1552.17

180,	1357,	246,	1552.78

190,	1366,	248,	1549.72

200,	1372,	248,	1640.23

210,	1379,	250,	1552.78

220,	1387,	251,	1552.78

230,	1394,	252,	1642.18

240,	1400,	254,	1550.94

250,	1405,	255,	1642.18

260,	1414,	256,	1641.53

pwm,	intr,	RPM,	speed

260,	1413,	256,	1639.59

250,	1404,	254,	1552.17

240,	1398,	253,	1640.23

230,	1392,	252,	1552.17

220,	1383,	251,	1552.17

210,	1380,	250,	1640.23

200,	1372,	249,	1550.94

190,	1365,	247,	1552.17

180,	1358,	246,	1549.11

170,	1349,	244,	1549.11

160,	1340,	243,	1550.33

150,	1330,	241,	1550.33

140,	1318,	239,	1550.33

130,	1305,	236,	1550.94

120,	1289,	233,	1459.14

110,	1270,	230,	1457.98

100,	1249,	226,	1367.40

90,	1222,	221,	1367.94

80,	1191,	216,	1369.02

70,	1148,	208,	1276.74

60,	1085,	196,	1277.25

50,	1004,	182,	1185.08

40,	877,	159,	911.96

30,	698,	126,	820.12

20,	422,	76,	456.16

10,	20,	3,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 64 = 488 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	1047,	190,	1277.75

110,	1162,	210,	1278.76

120,	1203,	218,	1368.48

130,	1228,	222,	1367.40

140,	1252,	227,	1457.41

150,	1271,	230,	1458.56

160,	1289,	233,	1457.41

170,	1304,	236,	1460.87

180,	1318,	238,	1459.14

190,	1331,	241,	1549.11

200,	1342,	243,	1459.71

210,	1352,	245,	1550.33

220,	1362,	247,	1550.94

230,	1370,	249,	1551.56

240,	1378,	249,	1641.53

250,	1385,	251,	1640.23

260,	1414,	256,	1641.53

pwm,	intr,	RPM,	speed

260,	1414,	256,	1641.53

250,	1387,	251,	1639.59

240,	1381,	250,	1639.59

230,	1372,	249,	1552.78

220,	1364,	247,	1551.56

210,	1355,	245,	1552.17

200,	1345,	244,	1550.33

190,	1334,	241,	1459.71

180,	1323,	240,	1550.33

170,	1309,	237,	1548.50

160,	1294,	234,	1460.29

150,	1278,	232,	1460.29

140,	1256,	227,	1457.41

130,	1232,	223,	1369.02

120,	1203,	218,	1369.56

110,	1172,	212,	1366.32

100,	1131,	205,	1278.26

90,	1085,	196,	1275.23

80,	1022,	185,	1186.02

70,	939,	170,	1002.76

60,	833,	151,	912.68

50,	707,	128,	730.14

40,	533,	96,	547.61

30,	315,	57,	273.48

20,	6,	1,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 8 = 3906 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	0,	0,	0.00

160,	0,	0,	0.00

170,	901,	163,	1186.95

180,	1010,	183,	1186.48

190,	1013,	183,	1185.55

200,	1014,	184,	1185.55

210,	1043,	189,	1185.55

220,	1121,	203,	1277.75

230,	1219,	221,	1368.48

240,	1339,	243,	1552.17

250,	1408,	255,	1550.33

260,	1414,	256,	1640.23

pwm,	intr,	RPM,	speed

260,	1415,	256,	1643.47

250,	1409,	255,	1643.47

240,	1342,	243,	1550.94

230,	1225,	222,	1367.94

220,	1129,	204,	1278.26

210,	1049,	190,	1184.15

200,	1016,	184,	1186.95

190,	1011,	183,	1093.92

180,	1012,	183,	1095.65

170,	1013,	183,	1186.95

160,	991,	179,	1095.65

150,	931,	169,	1003.95

140,	840,	152,	911.96

130,	748,	135,	911.60

120,	671,	121,	730.14

110,	605,	109,	639.13

100,	549,	99,	637.62

90,	487,	88,	546.53

80,	401,	72,	365.22

70,	291,	52,	274.02

60,	110,	19,	0.00

50,	0,	0,	0.00

40,	0,	0,	0.00

30,	0,	0,	0.00

20,	0,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1 = 31250 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	959,	174,	1187.42

160,	1108,	201,	1277.75

170,	1169,	212,	1367.94

180,	1225,	222,	1367.40

190,	1275,	231,	1459.14

200,	1318,	239,	1458.56

210,	1356,	245,	1552.78

220,	1386,	251,	1639.59

230,	1405,	254,	1552.78

240,	1411,	256,	1640.88

250,	1413,	256,	1640.23

260,	1412,	256,	1550.94

pwm,	intr,	RPM,	speed

260,	1413,	256,	1550.33

250,	1412,	256,	1551.56

240,	1411,	255,	1640.23

230,	1405,	255,	1640.23

220,	1386,	251,	1552.17

210,	1357,	246,	1550.94

200,	1321,	239,	1550.94

190,	1279,	232,	1458.56

180,	1231,	223,	1370.10

170,	1178,	213,	1276.74

160,	1119,	203,	1278.26

150,	1056,	191,	1186.95

140,	985,	178,	1095.65

130,	911,	165,	1004.35

120,	831,	150,	1004.74

110,	755,	137,	821.09

100,	682,	123,	821.09

90,	608,	110,	638.37

80,	529,	96,	547.39

70,	457,	82,	548.04

60,	387,	70,	456.52

50,	321,	58,	273.59

40,	262,	47,	273.70

30,	180,	32,	182.68

20,	117,	21,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1 = 31250 Hz
